"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 04 01:36:24 CEST 2019","Tue Jun 04 01:36:24 CEST 2019","17","","ConversationMessagingTest","","ConversationMessagingTest","[C69] Conversation messages: Send chat messages","[C69] Conversation messages: Send chat messages",""
"broken","Tue Jun 04 01:36:15 CEST 2019","Tue Jun 04 01:36:15 CEST 2019","11","","com.wallapop.functionality.delivery.behaviour.DeliveryNumberOfShipmentsProfileTest","","com.wallapop.functionality.delivery.behaviour.DeliveryNumberOfShipmentsProfileTest","myProfile_exactlyOneShipment_Success","[C1675B] Delivery user profile: See the number of shipments on my profile (exactly one)",""
"broken","Tue Jun 04 01:36:28 CEST 2019","Tue Jun 04 01:36:28 CEST 2019","21","","com.wallapop.functionality.visibility.behaviour.OnBoardingTest","","com.wallapop.functionality.visibility.behaviour.OnBoardingTest","onBoarding_ProSubscription_GooglePlay","PRO Subscription: Check the Google payment popup",""
"broken","Tue Jun 04 01:36:28 CEST 2019","Tue Jun 04 01:36:28 CEST 2019","12","","com.wallapop.functionality.visibility.behaviour.OnBoardingTest","","com.wallapop.functionality.visibility.behaviour.OnBoardingTest","onBoarding_ProSubscription_Purchase","[C631] Purchases: Buy a PRO subscription and check the onboarding",""
"broken","Tue Jun 04 01:36:21 CEST 2019","Tue Jun 04 01:36:21 CEST 2019","6","","com.wallapop.functionality.item.uploadAndEdit.behaviour.EditItemTest","","com.wallapop.functionality.item.uploadAndEdit.behaviour.EditItemTest","editItem_03_RealEstateItem_IsItemUpdated","[C8578] Item edition: Edit a Real Estate item",""
"broken","Tue Jun 04 01:36:14 CEST 2019","Tue Jun 04 01:36:14 CEST 2019","42","","DeliveryDeleteSoldItemTest","","DeliveryDeleteSoldItemTest","[C12550] Delivery user profile: Seller deletes a sold item when transaction is succeeded","[C12550] Delivery user profile: Seller deletes a sold item when transaction is succeeded",""
"broken","Tue Jun 04 01:36:36 CEST 2019","Tue Jun 04 01:36:36 CEST 2019","10","","com.wallapop.functionality.loginRegister.behaviour.RegisterWallapopUserTest","","com.wallapop.functionality.loginRegister.behaviour.RegisterWallapopUserTest","registerWallapopAccount_07_selectOneFavCategory_isSaveButtonDisplayed","[C26851B] Onboarding: Select one favourite category but not save selection (Category: Bikes)",""
"broken","Tue Jun 04 01:36:27 CEST 2019","Tue Jun 04 01:36:27 CEST 2019","277","","com.wallapop.functionality.loginRegister.behaviour.LoginWallapopUserTest","","com.wallapop.functionality.loginRegister.behaviour.LoginWallapopUserTest","loginWallapopAccount_05_setValidCredentials_isUserLogged","[C727] Login: Login with a right Wallapop credentials",""
"passed","Mon Jun 03 12:42:54 CEST 2019","Mon Jun 03 12:42:54 CEST 2019","408","","com.wallapop.testPlans.CriticalPathsTest","","com.wallapop.testPlans.CriticalPathsTest","CriticalPathSuite","Testplan Execution: 'Critical Path Suite'",""
"broken","Tue Jun 04 01:36:25 CEST 2019","Tue Jun 04 01:36:25 CEST 2019","10","","com.wallapop.functionality.item.actions.behaviour.OwnItemsTest","","com.wallapop.functionality.item.actions.behaviour.OwnItemsTest","ownItem_05_deleteInactiveItem","[C35144] Profile items: Let user delete an inactive item",""
"broken","Tue Jun 04 01:36:15 CEST 2019","Tue Jun 04 01:36:15 CEST 2019","29","","com.wallapop.functionality.delivery.behaviour.DeliveryTransactionTest","","com.wallapop.functionality.delivery.behaviour.DeliveryTransactionTest","delivery_rejectOffer_rejectedScreen","[C12569] Delivery shipping request: Seller rejects a delivery offer",""
"broken","Tue Jun 04 01:36:22 CEST 2019","Tue Jun 04 01:36:22 CEST 2019","273","","com.wallapop.functionality.search.saveSearches.behaviour.SavedSearchesPerformanceTest","","com.wallapop.functionality.search.saveSearches.behaviour.SavedSearchesPerformanceTest","LaunchSearch_05_LaunchSearchAndCheckFiltersScreen_AreFiltersCorrect","[C37161E] Save Searches: Save the same search after the location was changed",""
"broken","Tue Jun 04 01:36:21 CEST 2019","Tue Jun 04 01:36:21 CEST 2019","18","","SearchCG)","","SearchCG)","[C37160A] Save Searches: Save a search and check messages shown at wall(SaveSearch_01_SaveSearch_IsMessagesDisplayed","[C37160A] Save Searches: Save a search and check messages shown at wall(SaveSearch_01_SaveSearch_IsMessagesDisplayed",""
"broken","Tue Jun 04 01:36:19 CEST 2019","Tue Jun 04 01:36:19 CEST 2019","12","","ActivesInboxDataTest","","ActivesInboxDataTest","[C441] Inbox data - Active conversations: Check conversations information","[C441] Inbox data - Active conversations: Check conversations information",""
"broken","Tue Jun 04 01:36:32 CEST 2019","Tue Jun 04 01:36:32 CEST 2019","22","","com.wallapop.functionality.profile.editProfile.behaviour.EditProfileTest","","com.wallapop.functionality.profile.editProfile.behaviour.EditProfileTest","editProfile_06_EditGender_IsGenderAdded","[C12598] Profile edition: Change gender",""
"broken","Tue Jun 04 01:36:13 CEST 2019","Tue Jun 04 01:36:13 CEST 2019","18","","com.wallapop.functionality.delivery.behaviour.DeliveryItemWeightTest","","com.wallapop.functionality.delivery.behaviour.DeliveryItemWeightTest","delivery_02_editWeightFromItemDetail_Success","[C12551] Delivery item detail: Edit shipping weight from item detail",""
"broken","Tue Jun 04 01:36:15 CEST 2019","Tue Jun 04 01:36:15 CEST 2019","14","","com.wallapop.functionality.delivery.behaviour.DeliveryNumberOfShipmentsProfileTest","","com.wallapop.functionality.delivery.behaviour.DeliveryNumberOfShipmentsProfileTest","myProfile_moreThanOneShipment_Success","[C1675A] Delivery user profile: See the number of shipments on my profile (more than one)",""
"broken","Tue Jun 04 01:36:19 CEST 2019","Tue Jun 04 01:36:19 CEST 2019","4","","com.wallapop.functionality.chat.inbox.behaviour.ActivesInboxDataTest","","com.wallapop.functionality.chat.inbox.behaviour.ActivesInboxDataTest","ActivesInbox_Data_06_GoToInbox_IsConnectionToastsDisplayed","[C90A] Inbox data - Active conversations: Connection status toast",""
"broken","Tue Jun 04 01:36:19 CEST 2019","Tue Jun 04 01:36:19 CEST 2019","5","","com.wallapop.functionality.visibility.behaviour.ListingFeePurchaseTest","","com.wallapop.functionality.visibility.behaviour.ListingFeePurchaseTest","listingFee_Purchase","[C6441] Purchases: Listing Fee purchase",""
"broken","Tue Jun 04 01:36:19 CEST 2019","Tue Jun 04 01:36:19 CEST 2019","4","","com.wallapop.functionality.item.uploadAndEdit.behaviour.UploadItemTest","","com.wallapop.functionality.item.uploadAndEdit.behaviour.UploadItemTest","upload_03_RealEstateItem_IsItemUploaded","[C4261] Item upload: Upload a Real Estate item",""
"broken","Tue Jun 04 01:36:35 CEST 2019","Tue Jun 04 01:36:35 CEST 2019","9","","com.wallapop.functionality.chat.inbox.behaviour.ActivesInboxActionsTest","","com.wallapop.functionality.chat.inbox.behaviour.ActivesInboxActionsTest","ActivesInbox_Actions_03_GoToConversationByLastMessageStatus_IsConversationDisplayed","Inbox actions - Active conversations: Go to a conversation with last message SENT_TO_ME",""
"broken","Tue Jun 04 01:36:19 CEST 2019","Tue Jun 04 01:36:19 CEST 2019","13","","int)","","int)","Upload: List 20 Consumer Goods Items(upload_04_UploadSeveralConsumerGoodsItems_AllItemsUploaded","Upload: List 20 Consumer Goods Items(upload_04_UploadSeveralConsumerGoodsItems_AllItemsUploaded",""
"broken","Tue Jun 04 01:36:16 CEST 2019","Tue Jun 04 01:36:16 CEST 2019","8","","com.wallapop.functionality.delivery.behaviour.DeliveryTutorialsTest","","com.wallapop.functionality.delivery.behaviour.DeliveryTutorialsTest","delivery_wallapopProtectFromPayItem_TutorialDisplayed","[C12571] Delivery tutorials: Go to buyer tutorial from wallapop protect link at pay item",""
"broken","Tue Jun 04 01:36:28 CEST 2019","Tue Jun 04 01:36:28 CEST 2019","49","","OnBoardingTest","","OnBoardingTest","PRO Subscription: Check if user is eligible to buy a PRO Subscription","PRO Subscription: Check if user is eligible to buy a PRO Subscription",""
"broken","Tue Jun 04 01:36:34 CEST 2019","Tue Jun 04 01:36:34 CEST 2019","34","","ItemStatus)","","ItemStatus)","Inbox actions - Active conversations: Go to a conversation with the item RESERVED(ActivesInbox_Actions_04_GoToConversationByItemStatus_IsConversationDisplayed","Inbox actions - Active conversations: Go to a conversation with the item RESERVED(ActivesInbox_Actions_04_GoToConversationByItemStatus_IsConversationDisplayed",""
"broken","Tue Jun 04 01:36:24 CEST 2019","Tue Jun 04 01:36:24 CEST 2019","9","","com.wallapop.functionality.chat.conversation.behaviour.ConversationMessagingTest","","com.wallapop.functionality.chat.conversation.behaviour.ConversationMessagingTest","Conversation_Messaging_13_SendMessageWithSpaces_IsMessageSent","Conversation messages: Send a message with unnecessary spaces",""
"broken","Tue Jun 04 01:36:37 CEST 2019","Tue Jun 04 01:36:37 CEST 2019","316","","HelpTest","","HelpTest","[C740] Help: Access and sections","[C740] Help: Access and sections",""
"broken","Tue Jun 04 01:36:35 CEST 2019","Tue Jun 04 01:36:35 CEST 2019","20","","User)","","User)","[C734] Register: Sign up with a new Wallapop account(registerWallapopAccount_05_setValidCredentials_isUserRegistered","[C734] Register: Sign up with a new Wallapop account(registerWallapopAccount_05_setValidCredentials_isUserRegistered",""
"broken","Tue Jun 04 01:36:37 CEST 2019","Tue Jun 04 01:36:37 CEST 2019","296","","com.wallapop.functionality.help.behaviour.HelpTest","","com.wallapop.functionality.help.behaviour.HelpTest","help_01_goToHelpScreen_isSectionsDisplayed","[C740] Help: Access and sections",""
